DEB [20180111-21:24:51.037] thr=1   paramiko.transport: starting thread (client mode): 0x7232da90
DEB [20180111-21:24:51.038] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.0
DEB [20180111-21:24:51.485] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_6.6.1
INF [20180111-21:24:51.485] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_6.6.1)
DEB [20180111-21:24:51.609] thr=1   paramiko.transport: kex algos:['curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group-exchange-sha1', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'arcfour256', 'arcfour128', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com', 'chacha20-poly1305@openssh.com', 'aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'aes192-cbc', 'aes256-cbc', 'arcfour', 'rijndael-cbc@lysator.liu.se'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'arcfour256', 'arcfour128', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com', 'chacha20-poly1305@openssh.com', 'aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'aes192-cbc', 'aes256-cbc', 'arcfour', 'rijndael-cbc@lysator.liu.se'] client mac:['hmac-md5-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-ripemd160-etm@openssh.com', 'hmac-sha1-96-etm@openssh.com', 'hmac-md5-96-etm@openssh.com', 'hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-md5-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-ripemd160-etm@openssh.com', 'hmac-sha1-96-etm@openssh.com', 'hmac-md5-96-etm@openssh.com', 'hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20180111-21:24:51.611] thr=1   paramiko.transport: Kex agreed: ecdh-sha2-nistp256
DEB [20180111-21:24:51.611] thr=1   paramiko.transport: HostKey agreed: ssh-ed25519
DEB [20180111-21:24:51.611] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20180111-21:24:51.611] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20180111-21:24:51.611] thr=1   paramiko.transport: Compression agreed: none
DEB [20180111-21:24:51.954] thr=1   paramiko.transport: kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
DEB [20180111-21:24:51.955] thr=1   paramiko.transport: Switch to new keys ...
DEB [20180111-21:26:09.165] thr=1   paramiko.transport: starting thread (client mode): 0xd397da90
DEB [20180111-21:26:09.166] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.0
DEB [20180111-21:26:09.179] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_6.6.1
INF [20180111-21:26:09.180] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_6.6.1)
